Company,Date,BTC Balance,Change,Cost Basis,Market Price
MicroStrategy,,Jan 27 2025,471107,+10107,30424210000
MicroStrategy,,Jan 21 2025,461000,+11000,29324210000
MicroStrategy,,Jan 13 2025,450000,+2530,28210950000
MicroStrategy,,Jan 06 2025,447470,+1070,27970000000
MicroStrategy,,Dec 30 2024,446400,0,27900000000
MicroStrategy,,Dec 30 2024,446400,+2138,29000000000
MicroStrategy,,Dec 23 2024,444262,+5262,27700000000
MicroStrategy,,Dec 15 2024,439000,+15350,27097240330
MicroStrategy,,Dec 08 2024,423650,+21550,25556315230
MicroStrategy,,Dec 02 2024,402100,+15400,23427541580
MicroStrategy,,Nov 24 2024,386700,+55500,21949511180
MicroStrategy,,Nov 17 2024,331200,+51780,16518170180
MicroStrategy,,Nov 11 2024,279420,+27200,11929064120
MicroStrategy,,Sep 20 2024,252220,+7420,9903670520
MicroStrategy,,Sep 13 2024,244800,+18300,9450000000
MicroStrategy,,Aug 01 2024,226500,+169,8300000000
MicroStrategy,,Jun 20 2024,226331,+11931,8330000000
MicroStrategy,,Apr 29 2024,214400,+122,7542592000
MicroStrategy,,Mar 31 2024,214278,+32,7535000000
MicroStrategy,,Mar 19 2024,214246,+9246,7533000000
MicroStrategy,,Mar 10 2024,205000,+12000,6910000000
MicroStrategy,,Feb 26 2024,193000,+3000,6087992000
MicroStrategy,,Feb 06 2024,190000,+850,5930000000
MicroStrategy,,Dec 26 2023,189150,+14620,5895000000
MicroStrategy,,Nov 29 2023,174530,+16130,5280000000
MicroStrategy,,Oct 31 2023,158400,+155,4686422400
MicroStrategy,,Sep 24 2023,158245,+5445,4681203590
MicroStrategy,,Jul 31 2023,152800,+467,4530000000
MicroStrategy,,Jun 28 2023,152333,+12333,4520000000
MicroStrategy,,Apr 06 2023,140000,+1045,4170000000
MicroStrategy,,Mar 23 2023,138955,+6455,4140000000
MicroStrategy,,Dec 27 2022,132500,+2500,4027052651
MicroStrategy,,Sep 20 2022,130000,+301,3982375151
MicroStrategy,,Jun 29 2022,129699,+481,3976400000
MicroStrategy,,Apr 04 2022,129218,+4167,3966400000
MicroStrategy,,Jan 31 2022,125051,+660,3775900000
MicroStrategy,,Dec 30 2021,124391,+1914,3750900000
MicroStrategy,,Dec 09 2021,122477,+1434,3656700000
MicroStrategy,,Nov 29 2021,121043,+7002,3574300000
MicroStrategy,,Sep 12 2021,114041,+5050,3159900000
MicroStrategy,,Aug 23 2021,108991,+3907,2917000000
MicroStrategy,,Jun 21 2021,105084,+13005,2740000000
MicroStrategy,,May 18 2021,92079,+229,2251000000
MicroStrategy,,May 13 2021,91850,+271,2241000000
MicroStrategy,,Apr 05 2021,91579,+253,2226000000
MicroStrategy,,Mar 12 2021,91326,+262,2211000000
MicroStrategy,,Mar 05 2021,91064,+205,2196000000
MicroStrategy,,Mar 01 2021,90859,+328,2186000000
MicroStrategy,,Feb 24 2021,90531,+19452,2171000000
MicroStrategy,,Feb 02 2021,71079,+295,1145000000
MicroStrategy,,Jan 22 2021,70784,+314,1135000000
MicroStrategy,,Dec 21 2020,70470,+29646,1125000000
MicroStrategy,,Dec 05 2020,40824,+2574,475000000
MicroStrategy,,Sep 14 2020,38250,+16796,425000000
