Date,M2SL
2013-01-01,10497.6
2013-02-01,10516.6
2013-03-01,10572.9
2013-04-01,10600.4
2013-05-01,10634.7
2013-06-01,10692.3
2013-07-01,10731.5
2013-08-01,10789.6
2013-09-01,10850.0
2013-10-01,10974.2
2013-11-01,10982.9
2013-12-01,11047.8
2014-01-01,11117.6
2014-02-01,11183.2
2014-03-01,11219.1
2014-04-01,11264.0
2014-05-01,11328.5
2014-06-01,11383.7
2014-07-01,11438.4
2014-08-01,11462.5
2014-09-01,11503.7
2014-10-01,11577.5
2014-11-01,11618.2
2014-12-01,11701.9
2015-01-01,11774.2
2015-02-01,11880.4
2015-03-01,11892.9
2015-04-01,11932.5
2015-05-01,11963.8
2015-06-01,12011.1
2015-07-01,12061.1
2015-08-01,12110.8
2015-09-01,12170.3
2015-10-01,12211.2
2015-11-01,12301.0
2015-12-01,12361.5
2016-01-01,12490.8
2016-02-01,12557.6
2016-03-01,12620.2
2016-04-01,12703.7
2016-05-01,12775.9
2016-06-01,12841.1
2016-07-01,12902.2
2016-08-01,12988.9
2016-09-01,13047.9
2016-10-01,13112.8
2016-11-01,13182.4
2016-12-01,13215.3
2017-01-01,13286.4
2017-02-01,13351.2
2017-03-01,13420.1
2017-04-01,13481.0
2017-05-01,13539.7
2017-06-01,13564.1
2017-07-01,13628.9
2017-08-01,13688.0
2017-09-01,13733.8
2017-10-01,13788.5
2017-11-01,13814.7
2017-12-01,13860.3
2018-01-01,13869.2
2018-02-01,13907.3
2018-03-01,13966.4
2018-04-01,13989.3
2018-05-01,14055.7
2018-06-01,14117.5
2018-07-01,14157.0
2018-08-01,14206.0
2018-09-01,14238.2
2018-10-01,14248.1
2018-11-01,14258.7
2018-12-01,14369.9
2019-01-01,14432.7
2019-02-01,14470.5
2019-03-01,14513.9
2019-04-01,14548.1
2019-05-01,14660.8
2019-06-01,14782.9
2019-07-01,14865.4
2019-08-01,14947.6
2019-09-01,15039.5
2019-10-01,15174.6
2019-11-01,15273.3
2019-12-01,15334.3
2020-01-01,15401.3
2020-02-01,15453.8
2020-03-01,15980.6
2020-04-01,16999.0
2020-05-01,17868.4
2020-06-01,18161.5
2020-07-01,18311.4
2020-08-01,18382.2
2020-09-01,18606.8
2020-10-01,18758.1
2020-11-01,18972.9
2020-12-01,19109.9
2021-01-01,19334.6
2021-02-01,19570.8
2021-03-01,19809.6
2021-04-01,20132.9
2021-05-01,20437.5
2021-06-01,20481.6
2021-07-01,20633.3
2021-08-01,20844.2
2021-09-01,20973.7
2021-10-01,21153.5
2021-11-01,21327.3
2021-12-01,21507.6
2022-01-01,21566.2
2022-02-01,21620.9
2022-03-01,21722.8
2022-04-01,21723.2
2022-05-01,21696.6
2022-06-01,21652.3
2022-07-01,21644.5
2022-08-01,21626.6
2022-09-01,21507.8
2022-10-01,21433.2
2022-11-01,21366.9
2022-12-01,21273.0
2023-01-01,21187.9
2023-02-01,21117.1
2023-03-01,20870.0
2023-04-01,20712.0
2023-05-01,20804.6
2023-06-01,20788.4
2023-07-01,20762.6
2023-08-01,20735.0
2023-09-01,20681.4
2023-10-01,20662.5
2023-11-01,20675.7
2023-12-01,20725.4
2024-01-01,20726.1
2024-02-01,20762.0
2024-03-01,20863.0
2024-04-01,20881.3
2024-05-01,20959.5
2024-06-01,21020.1
2024-07-01,21039.4
2024-08-01,21141.3
2024-09-01,21222.8
2024-10-01,21312.5
2024-11-01,21448.3
2024-12-01,21533.8
